ts,family,market,side,qty,px,purpose,est_day,rested_h,fair,band_lo,band_hi,conf,touch_bid,touch_ask,conc,pos_after,why,oid
1788931248.2,nfl,tec-nfl-oroy-2027-02-11-w-jadpri,BUY,0.1,0.21,backfill,,0.37,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCN775E5CR42
1788932637.1,cfb,aachc-cfb-wins-2026-11-28-txtech-11pt5wins,BUY,1,0.42,sell,0.0954,19.13,,37,43,0.312,0.42,0.43,0.02,0,buying back the short at or under what it sold for — the bid earns while it wait,CC5KKQPY0R47
1788932960.3,cfb,aachc-cfb-wins-2026-11-28-nw-5pt5wins,SELL,0.01,0.59,sell,0,0,,53,59,0.342,0.59,0.6,-0.03,0,taker dump — sold into the bid (the carved exception),CCNZHGJDCR3Y
1788933200.3,cfb,aachc-cfb-wins-2026-11-28-flst-5pt5wins,BUY,1,0.49,manual,0,5.23,,49,55,0,0.45,0.5,-0.03,1,the owner's own order — the engine leaves it alone,CCHJ1WNEJR3X
1788933217.8,nfl,aqc-nfl-nfc-2027-01-24-champq-sea,SELL,0.3,0.33,backfill,,3.92,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCJQF110RR45
1788934109.5,cfb,aachc-cfb-wins-2026-11-28-pitt-9pt5wins,BUY,0.4,0.29,backfill,,16.15,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CC8CCST58R40
1788934132.6,cfb,aachc-cfb-wins-2026-11-28-txtech-11pt5wins,SELL,0.2,0.4,sell,0.755,0.4,,36,41,0.561,0.35,0.4,-0.02,0.8,selling filled stock — it earns while it waits,CCNXPGYV2R3Y
1788934327.1,cfb,aachc-cfb-wins-2026-11-28-utahst-3pt5wins,BUY,0.03,0.67,backfill,,13.65,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCAKGQXVYR46
1788935698.4,nfl,tec-nfl-oroy-2027-02-11-w-jerlov,SELL,0.5,0.19,sell,0.0934,4.75,,14,20,0.434,0.18,0.19,-0.02,0.5,an exit — its fill reduces the position it sits on,CCJKN4W9AR42
1788935698.4,nfl,tec-nfl-oroy-2027-02-11-w-jerlov,SELL,0.5,0.19,sell,0.0934,3.73,,14,20,0.434,0.18,0.19,-0.02,0,selling filled stock — it earns while it waits,CCKGKWD50R3V
1788937532.6,cfb,aachc-cfb-wins-2026-11-28-iowast-5pt5wins,BUY,1,0.15,manual,0.0184,1.56,,18,28,0,0.18,0.19,-0.07,1,the owner's own order — the engine leaves it alone,CCNNZXKA8R3Y
